Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Pinks,7.0,40.3315976177375,4064.4728510361206,Healthcare,13.4438658725792,No,302.32917298931403,Yes,Female,After_16:00,0.00718432269059122,0.336768237641081,2.45791926281527,9.52882829122245,7.70679441513494,4.67104153009132,7530.0,84.23725513275708,392.948268112409,3809.1882661179498,49872.1695806547,No,91402.92884040231,19.8229227943916,237.983694369729,96.8676398042589,204.181395472478,80.0,Below_30,4.0,672.945319270614,9.0,Motorcycle_or_truck,Services_or_Retail,578.1179213410289,2.0,No
Pinks,3.0,718.524613517605,172871.26146444198,Social,239.508204505868,No,721.775948431892,No,Female,By_16:00,0.693756228080019,0.34396304865367705,8.71373249683529,1.8274700990878001,6.38169258832932,6.7274186178110496,8572.0,25.0139969866723,652.824215442977,8523.40791520487,76078.4168480511,No,520960.519734757,25.5504249562111,269.355921594697,25.6926039466634,57613.688230130596,70.0,Below_30,4.0,911.508268943407,8.0,Public_or_other,Industry_or_other,503.577760403076,0.0,Yes
Blues,2.0,2180.29588311397,481026.81699281,Healthcare,726.7652943713251,Yes,661.8736760248211,No,Female,After_16:00,0.546929963864386,0.256550828460604,3.2173320557922103,9.211443155072631,2.9156001517549197,8.09109481982887,6576.0,44.0545765450224,182.013426693601,6982.76361363541,40634.024679652,Yes,438076.763014609,13.4912351804274,384.92678225483803,17.1453485963866,528924.55839701,80.0,30-45,2.0,552.197235360244,14.0,Public_or_other,Public_Sector,644.395567467041,1.0,Yes
Blues,6.0,1606.77651643441,245882.93608061102,Healthcare,535.592172144803,Yes,459.08612722243896,Yes,Male,After_16:00,0.136748357443139,0.941751985577866,3.77217849483714,9.640784563962368,6.624678072985259,6.0970697645098,5942.0,49.5659428648651,13.5189280560677,4617.89912833652,24965.112198196803,Yes,210760.072208097,,527.23401902072,,287404.567034933,80.0,30-45,3.0,407.622034732051,12.0,Public_or_other,Student_or_Unemployed,699.0927735186921,1.0,No
Purples,2.0,164.156792021724,23603.243876316697,Social,54.71893067390779,No,431.354260502237,Yes,Male,By_16:00,0.172414019005373,0.29015690693631796,0.742469618562609,9.70093201845884,5.060468462761491,6.4457927038893095,6941.0,58.262779284268596,,5244.39091794831,54383.615693632404,No,186066.498053432,21.5736913035987,106.133439207209,14.957400644198101,3058.88030476984,70.0,Below_30,1.0,675.422835302914,12.0,Foot_or_bicycle,Public_Sector,426.811336872037,0.0,Yes
Whites,5.0,,38162.898934883,Social,75.7719444709735,No,503.65473924854,No,Female,By_16:00,0.659040548838675,0.8053577484097328,4.68568470794708,2.97184849157929,9.386197573039679,2.7399220969527995,,64.5751763368025,447.539863063291,5931.62711861198,55824.0212971605,No,253668.096367515,21.1551379826105,52.617936010889395,23.809446161612897,5827.159513383261,70.0,45_and_up,1.0,702.253561222514,7.0,Car,Hightech,498.20442108139605,0.0,Yes
Greys,10.0,775.9282697525349,100603.44162997199,Foreign_Affairs,258.642756584178,No,388.966785533117,Yes,Male,After_16:00,0.20027042832225603,0.0615271993447095,6.299117163289339,9.350293481256811,,3.4101487998850604,5206.0,37.9545007832348,452.433222979334,4794.53430128984,51886.3694161405,Maybe,151295.160247966,21.270477732748102,160.213281247647,72.0506470650434,67164.7182900467,40.0,Below_30,1.0,643.462149315816,7.0,Foot_or_bicycle,Industry_or_other,394.751140162208,1.0,Yes
Yellows,4.0,1113.99633007586,231554.03323966698,Environment,371.332110025286,Yes,623.576650087974,No,Male,After_16:00,0.8212328492663801,0.8286242340691391,6.987195732072,7.6884635980241,8.79457226488739,4.85416082665324,9137.0,83.8053550804034,326.717837090317,6889.20217506037,46090.6692833742,Yes,388847.838534939,,232.413995407734,96.2632949231192,138268.86804585598,90.0,30-45,2.0,559.7176154477639,11.0,Public_or_other,Student_or_Unemployed,406.627794115364,2.0,No
Greens,10.0,523.322917921207,49473.2670135399,Environment,174.44097264040198,No,283.610359795032,Yes,Female,By_16:00,0.524367593461648,0.7835432603023951,1.95932760136202,7.22842417890206,8.496795024257151,7.31508679222316,9931.0,56.7684835055843,500.463540871531,3837.0306796933796,59581.038678220895,No,80434.8361830676,22.3710424627806,257.79081424785,8.25133894104511,30614.09390837,90.0,30-45,1.0,798.8342943287261,11.0,Motorcycle_or_truck,,640.11214312969,0.0,Yes
Browns,1.0,549.6038298894799,88678.20067186779,Environment,183.201276629827,No,484.047940621339,Yes,Female,By_16:00,0.9935957321431491,0.09122106130234899,3.7374169845134,3.40577250113711,3.6364488559775094,4.19699214631692,3301.0,44.7733847191557,433.33923736737603,5707.15788094814,53696.0345622326,No,234302.40881975897,20.816801804489,74.9945879158305,95.5531757790595,33755.9090354282,90.0,Below_30,2.0,673.194468177114,9.0,Public_or_other,Services_or_Retail,469.56872096868403,0.0,No
