Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Reds,5.0,557.7894357214531,93620.1301255681,Other,185.929811907151,No,503.524040417573,No,Female,After_16:00,0.273578131105751,0.45491946814581796,3.80102383205667,2.52499134279788,2.88870566524565,8.45698767807335,4171.0,81.914207781665,437.869752279004,5910.979908733741,55837.4196619466,Maybe,253536.459278438,20.9253375666679,70.214345761368,69.3970205960795,34765.8247677357,50.0,Below_30,,710.694546147807,8.0,Foot_or_bicycle,Student_or_Unemployed,532.518730109891,3.0,
Pinks,8.0,402.459284605157,98349.1132017793,Social,134.153094868386,No,733.111027354733,No,Female,By_16:00,0.282123825047165,0.415876047685742,8.35603622486815,2.8963040933013,3.8290363177657096,2.69148045452312,9036.0,90.38368009496479,658.906887774332,8648.924049095991,76932.98472848769,No,537451.778429112,25.6691816732503,282.342943432047,89.66287067160009,18141.2059576345,70.0,Below_30,2.0,921.926133069561,8.0,Motorcycle_or_truck,Industry_or_other,511.19766267437797,0.0,Yes
Purples,8.0,190.712982827808,21022.1561337215,Environment,63.570994275935895,No,330.68786123547,Yes,Male,After_16:00,0.326226583682001,0.583530697505921,3.04845192702487,7.813057517632839,7.20458127558231,6.18382728192955,9019.0,41.574311000295,429.46497920288397,4165.8085707604705,51048.4222590466,No,109354.461568489,20.7235368410627,184.369414340304,93.51264347787951,4114.8423075070095,90.0,Below_30,4.0,660.229230054248,14.0,Car,Hightech,481.283925296211,1.0,Yes
Browns,8.0,755.9584316951759,124055.32673852301,Healthcare,251.986143898392,No,492.310112053407,Yes,Male,By_16:00,0.775864668190479,0.556191916344687,2.05680606886744,8.06984276976436,9.492527039255949,7.81033982289955,4316.0,67.3463169019669,455.683795926286,5834.46871238664,55540.7498419307,No,242369.246430038,21.346751413887,56.415308902751796,2.25331094115973,63759.0028606796,80.0,45_and_up,3.0,692.319781080735,7.0,Car,Industry_or_other,465.946707083475,0.0,No
Whites,9.0,179.121728898526,29766.007291091402,Education,59.7072429661752,No,498.532603623217,Yes,Female,After_16:00,0.19350740662775898,0.218170007225126,6.0015720059163895,5.92156800441444,2.5207563955336805,0.914790781680495,9775.0,78.2941217068583,359.713144906978,5704.752326046129,46675.161071910705,No,248534.75687534397,18.966105159124698,166.844228565936,64.4356229575351,3634.6621055880605,100.0,Below_30,1.0,578.4441172515969,10.0,Foot_or_bicycle,Hightech,409.69805294599,0.0,No
Oranges,10.0,642.670965443973,81415.531677569,Military,214.223655147991,No,380.04921361894,Yes,Male,By_16:00,0.494021582184359,0.596844867337495,6.118756558280441,0.7744922791607679,3.40414982289076,4.60677091730759,3990.0,47.2633975790814,386.072001649504,4572.63613948841,49675.292022403795,Maybe,144437.404772375,19.6487150126797,169.310239909072,48.4476548153907,46115.9980801134,30.0,30-45,3.0,653.484837170828,5.0,,Services_or_Retail,536.030228648762,2.0,Yes
Yellows,9.0,1547.60390367337,138099.533954923,Healthcare,515.8679678911229,Yes,267.703254612758,Yes,Male,By_16:00,0.18665948673151397,0.990713591920212,1.31771491607651,9.89741643425077,0.9982521831989292,0.935525202658027,3047.0,49.5867073303089,305.38262361216704,3287.79779335192,44194.9453341102,Yes,71665.0325302633,17.4752002452666,343.37184861875596,85.9456455335021,266645.62826400803,80.0,30-45,3.0,632.340341423529,11.0,Public_or_other,Public_Sector,661.4513094226049,0.0,Yes
Browns,7.0,291.017475580848,46452.101457853605,Healthcare,97.00582519361592,No,478.85888672292504,Yes,Male,After_16:00,0.30114443274214897,0.450023479992524,9.739901805296538,5.3455074573867,7.78732212726027,7.25861108396202,4985.0,44.802512763999395,449.030747642636,5686.65036251453,54549.67550063309,No,229305.83339352,21.1903456234823,70.61243225063141,96.96758610662071,9517.135946687991,80.0,30-45,1.0,679.983444483981,8.0,Public_or_other,Hightech,455.939765866632,2.0,Yes
Pinks,3.0,114.795598585354,26489.678154589,Social,38.2651995284514,No,692.265517520511,No,Male,By_16:00,0.108869667863473,0.0521149465348572,8.35776139050722,4.459518450312321,2.74401842150837,6.39039070811123,4337.0,77.7970497263595,661.1264992357831,8244.90817367667,76209.3525194742,No,479231.54674794,25.712380271685902,250.86378920390098,35.860654083080604,1512.49069448065,70.0,Below_30,3.0,915.342983298231,8.0,Public_or_other,Services_or_Retail,502.20516446795096,,Yes
Purples,1.0,300.185050996235,36402.468894531805,Environment,100.061683665412,No,363.80028359561896,Yes,Female,After_16:00,0.736597446724772,0.0034800430294126303,2.24566655466333,9.27373112877831,5.08686211891472,9.947705022059381,9962.0,52.5575471576303,453.061217411007,4544.1252707782005,53160.2820102705,No,132350.646344253,21.2852347276465,147.892315735428,56.0466761467978,10122.4022216223,90.0,30-45,2.0,677.4129456873919,12.0,Car,Services_or_Retail,466.555643315847,0.0,Yes
